iter	RMSE
140	2.558435607
141	2.546651152
142	2.531601594
143	2.522671992
144	2.516503225
145	2.507817707
146	2.505591495
147	2.495990069
148	2.487329947
149	2.478037778
150	2.466760346
151	2.452481718
152	2.444720479
153	2.435040333
154	2.418637989
155	2.403660246
156	2.399403182
157	2.392024866
158	2.375297246
159	2.373189235
160	2.364237851
161	2.354032859
162	2.349788145
163	2.33984251
164	2.333107653
165	2.322773961
166	2.315942183
167	2.305819595
168	2.288004084
169	2.280115013
170	2.27174779
171	2.254697686
172	2.249059335
173	2.247663838
174	2.239614499
175	2.233959653
176	2.223525099
177	2.213749594
178	2.207101049
179	2.199017509
180	2.19377673
181	2.179971639
182	2.166438159
183	2.161247212
184	2.146264845
185	2.129602643
186	2.118507859
187	2.108190103
188	2.099979147
189	2.087352519
190	2.07427722
191	2.065399321
192	2.045529306
193	2.033955009
194	2.030468025
195	2.021959885
196	2.006417669
197	2.00258069
198	1.996925816
199	1.985859355
200	1.978875339
201	1.9680666
202	1.962018297
203	1.953882836
204	1.951252202
205	1.945007243
206	1.934501238
207	1.912321299
208	1.906205144
209	1.895611531
210	1.885360026
211	1.872403389
212	1.860345255
213	1.851426155
214	1.841605272
215	1.83408372
216	1.825933409
217	1.823303253
218	1.815399461
219	1.807149448
220	1.796984081
221	1.792874228
222	1.783921324
223	1.782682294
224	1.778123325
225	1.775578989
226	1.770829032
227	1.761293872
228	1.75660003
229	1.74979339
230	1.738439036
231	1.730911955
232	1.718813304
233	1.714976289
234	1.709725504
235	1.702845464
236	1.696929476
237	1.68765685
238	1.681485205
239	1.676756294
240	1.667225136
241	1.658730444
242	1.654500078
243	1.645336865
244	1.635596433
245	1.632420925
246	1.629941806
247	1.624172104
248	1.620754501
249	1.614204453
250	1.603502527
251	1.592042795
252	1.584988993
253	1.579435983
254	1.568211554
255	1.564878193
256	1.562046129
257	1.550547979
258	1.544934004
259	1.543780429
260	1.542589901
261	1.535227489
262	1.525856745
263	1.519811267
264	1.513584672
265	1.504860201
266	1.500324257
267	1.493534759
268	1.486341765
269	1.478300685
270	1.475865663
271	1.471293833
272	1.467030237
273	1.462842905
274	1.45774596
275	1.449198645
276	1.44503448
277	1.442897163
278	1.434212658
279	1.431849945
280	1.428659315
281	1.421553306
282	1.415146621
283	1.414380309
284	1.408656932
285	1.403299295
286	1.39723223
287	1.395190437
288	1.389832522
289	1.388838674
290	1.385345844
291	1.382766615
292	1.375590519
293	1.373582386
294	1.367645738
295	1.360383897
296	1.359351927
297	1.350578168
298	1.347971781
299	1.347062235
300	1.343038715
301	1.33895769
302	1.335898317
303	1.331928988
304	1.327664069
305	1.319880094
306	1.317492428
307	1.310055034
308	1.309286904
309	1.300317164
310	1.299690371
311	1.290456898
312	1.285455634
313	1.279754286
314	1.270057425
315	1.261603242
316	1.260946158
317	1.255475146
318	1.250059312
319	1.248599188
320	1.245122112
321	1.239073965
322	1.234453665
323	1.231947252
324	1.230305662
325	1.226726731
326	1.221480868
327	1.21279584
328	1.205072153
329	1.197699056
330	1.193152502
331	1.188800367
332	1.186586335
333	1.183080208
334	1.18179399
335	1.179510518
336	1.17462609
337	1.171900837
338	1.167083485
339	1.160769774
340	1.154792071
341	1.148419868
342	1.141999592
343	1.138531497
344	1.132894566
345	1.130050226
346	1.122702479
347	1.116375212
348	1.11411893
349	1.106548692
350	1.105180093
351	1.099413222
352	1.093839336
353	1.090616762
354	1.084711258
355	1.080904763
356	1.075474685
357	1.074523229
358	1.071668621
359	1.069414792
360	1.068889314
361	1.063710084
362	1.059367599
363	1.056066122
364	1.049859098
365	1.048228513
366	1.047466828
367	1.043034212
368	1.042697773
369	1.041330391
370	1.036454917
371	1.032123135
372	1.031514082
373	1.031175567
374	1.030808266
375	1.026330748
376	1.02320393
377	1.021334933
378	1.017006721
379	1.013638295
380	1.013296121
381	1.009477786
382	1.005231637
383	0.9987412785
384	0.9944616731
385	0.9914850214
386	0.9869780227
387	0.9840843533
388	0.9818274384
389	0.9807541789
390	0.9786551975
391	0.974679225
392	0.9686814371
393	0.961738198
394	0.9612654921
395	0.9557827797
396	0.9536893726
397	0.949940746
398	0.9480076816
399	0.9453830977
400	0.9407219761
401	0.938932313
402	0.9386570239
403	0.9348503781
404	0.9315587626
405	0.9312273791
406	0.9280806262
407	0.9231438363
408	0.9173058235
409	0.9133167415
410	0.9096455914
411	0.9064690239
412	0.9037288207
413	0.9005941796
414	0.8969211267
415	0.8938546618
416	0.8920872107
417	0.8857019801
418	0.8834578456
419	0.881819722
420	0.8767781834
421	0.8736704737
422	0.8698376899
423	0.8666899029
424	0.8626773375
425	0.8589051267
426	0.8562595619
427	0.8518211916
428	0.8485122849
429	0.8457307681
430	0.8427110071
431	0.840663453
432	0.8375315142
433	0.8340424381
434	0.8314145566
435	0.8294016268
436	0.8264284716
437	0.8239946704
438	0.819114437
439	0.816468216
440	0.8115300011
441	0.8084308265
442	0.805338653
443	0.8025834034
444	0.799938321
445	0.7979777261
446	0.7956981564
447	0.7950641996
448	0.7917649133
449	0.7889536435
450	0.7871537435
451	0.784257081
452	0.7808753179
453	0.7767623987
454	0.7727324551
455	0.7683891086
456	0.7649025626
457	0.7625679578
458	0.7606038396
459	0.7566590874
460	0.7549372314
461	0.7521163543
462	0.7479634098
463	0.7454360546
464	0.7414805278
465	0.7376867215
466	0.7339643846
467	0.7325274824
468	0.7298668958
469	0.7277085059
470	0.7251238176
471	0.7221362072
472	0.7198924124
473	0.7152930599
474	0.7128020628
475	0.7116804469
476	0.7075144865
477	0.7051170041
478	0.7034728188
479	0.7012757806
480	0.6989275723
481	0.6956457581
482	0.6924740917
483	0.6902393769
484	0.687674726
485	0.6862049923
486	0.6837388
487	0.6797913362
488	0.6769782308
489	0.6749668768
490	0.6695454596
491	0.6679671219
492	0.6639301134
493	0.6620781865
494	0.6598706789
495	0.6582193884
496	0.6552061009
497	0.6516527346
498	0.6484293706
499	0.6452398004
